Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3366689    0.672    0.000    0.956    0.000 common.py:216(<lambda>)
   720615    0.667    0.000    3.537    0.000 base.py:5409(_maybe_cast_with_dtype)
   722326    0.664    0.000    1.123    0.000 series.py:428(name)
721761/721759    0.640    0.000    0.646    0.000 generic.py:5257(__getattr__)
1450548/1450547    0.637    0.000    0.637    0.000 {method 'view' of 'numpy.ndarray' objects}
   240343    0.628    0.000    8.246    0.000 construction.py:506(_try_cast)
   239860    0.605    0.000  218.986    0.001 indexing.py:665(__setitem__)
   239860    0.575    0.000   36.426    0.000 base.py:3809(_coerce_scalar_to_index)
   240251    0.563    0.000    6.961    0.000 cast.py:70(maybe_convert_platform)
   240098    0.557    0.000   35.296    0.000 base.py:544(_shallow_copy_with_infer)
  1444789    0.549    0.000    1.249    0.000 _dtype.py:319(_name_includes_bit_suffix)
   481854    0.520    0.000    0.569    0.000 blocks.py:251(mgr_locs)
   720319    0.514    0.000    2.922    0.000 base.py:853(_ndarray_values)
   239860    0.502    0.000   11.348    0.000 indexing.py:633(_get_setitem_indexer)
   239862    0.500    0.000    1.702    0.000 indexing.py:737(_convert_scalar_indexer)
   756700    0.497    0.000    1.848    0.000 {built-in method builtins.any}
   721115    0.485    0.000    0.660    0.000 generic.py:409(_get_axis_name)
   240366    0.484    0.000    4.154    0.000 base.py:5387(default_index)
  3366689    0.482    0.000    0.482    0.000 common.py:211(classes_and_not_datetimelike)
  1444805    0.457    0.000    0.457    0.000 _dtype.py:36(_kind_name)
   480872    0.457    0.000    2.416    0.000 <__array_function__ internals>:2(concatenate)
  1204184    0.452    0.000    1.547    0.000 series.py:480(_values)
  1453469    0.449    0.000    0.600    0.000 base.py:615(__len__)
   240257    0.428    0.000    1.506    0.000 numeric.py:283(full)
   240846    0.415    0.000    1.170    0.000 range.py:131(_simple_new)
2890488/2889887    0.409    0.000    0.409    0.000 {built-in method builtins.hash}
   240498    0.408    0.000    0.408    0.000 {built-in method pandas._libs.lib.is_datetime_array}
   240112    0.395    0.000    1.525    0.000 base.py:602(_engine)
985719/985713    0.379    0.000    1.014    0.000 {built-in method builtins.all}
   240087    0.372    0.000    0.542    0.000 base.py:3911(__getitem__)
   961947    0.369    0.000    0.369    0.000 base.py:592(_reset_identity)
   720857    0.366    0.000    1.199    0.000 generic.py:422(_get_axis)
      236    0.365    0.002  126.050    0.534 nn_input_logic.py:38(get_gamestate)
   241138    0.365    0.000    0.749    0.000 inference.py:299(is_dict_like)
   481404    0.364    0.000    1.291    0.000 construction.py:570(is_empty_data)
   480677    0.353    0.000    0.882    0.000 base.py:505(_get_attributes_dict)
   482081    0.340    0.000    0.600    0.000 series.py:432(name)
   240347    0.336    0.000    2.518    0.000 base.py:1667(is_boolean)
   245446    0.311    0.000    0.738    0.000 base.py:2852(_convert_scalar_indexer)
   239860    0.303    0.000    0.989    0.000 generic.py:3255(_maybe_update_cacher)
   242761    0.289    0.000    0.700    0.000 numerictypes.py:365(issubdtype)
   486683    0.286    0.000    1.206    0.000 construction.py:337(extract_array)
      155    0.285    0.002  106.772    0.689 nn_input_logic.py:102(get_data)
   480738    0.281    0.000    0.348    0.000 common.py:179(ensure_python_int)
   240498    0.276    0.000    0.992    0.000 base.py:1737(is_all_dates)
   979971    0.274    0.000    0.274    0.000 {built-in method __new__ of type object at 0x00007FFC9D1C79A0}
  2763636    0.266    0.000    0.266    0.000 {method 'get' of 'dict' objects}
   481337    0.262    0.000    1.929    0.000 common.py:339(is_categorical)
  1223152    0.243    0.000    0.243    0.000 managers.py:1520(_block)
   480210    0.240    0.000    5.661    0.000 base.py:1730(inferred_type)
   240369    0.240    0.000    0.392    0.000 common.py:183(all_none)
   240272    0.232    0.000    0.644    0.000 <__array_function__ internals>:2(copyto)
   485522    0.231    0.000    0.392    0.000 numerictypes.py:293(issubclass_)
   480677    0.229    0.000    0.528    0.000 base.py:509(<dictcomp>)
   242268    0.225    0.000    0.338    0.000 managers.py:683(is_view)
40432/15712    0.206    0.000    1.413    0.000 copy.py:237(_deepcopy_dict)
   719580    0.205    0.000    0.295    0.000 base.py:4722(_maybe_cast_indexer)
   720285    0.201    0.000    0.941    0.000 concat.py:120(<genexpr>)
   723559    0.190    0.000    0.262    0.000 inference.py:325(<genexpr>)
       10    0.189    0.019    0.189    0.019 {built-in method gc.collect}
   481163    0.187    0.000    0.353    0.000 inference.py:96(is_iterator)
   240846    0.186    0.000    0.572    0.000 base.py:1186(name)
   481018    0.185    0.000    0.185    0.000 series.py:403(_set_subtyp)
   239860    0.182    0.000    3.657    0.000 base.py:1670(is_integer)
   481854    0.179    0.000    0.179    0.000 blocks.py:129(_check_ndim)
   720572    0.178    0.000    0.178    0.000 base.py:638(dtype)
