Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       34    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
        7    0.000    0.000    0.000    0.000 __init__.py:1363(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      196    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        4    0.000    0.000    0.001    0.000 csvs.py:34(__init__)
        1    0.000    0.000    0.000    0.000 pytables.py:3110(Table)
      236    0.000    0.000    0.000    0.000 base.py:2210(_validate_sort_keyword)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000027D60DA23A8}
      432    0.000    0.000    0.000    0.000 enum.py:628(value)
      122    0.000    0.000    0.000    0.000 M20_cards.py:2595(Tales_End_criteria)
       26    0.000    0.000    0.000    0.000 typing.py:535(__init__)
        1    0.000    0.000    0.001    0.001 interval.py:120(IntervalArray)
      282    0.000    0.000    0.000    0.000 M20_cards.py:381(<lambda>)
       12    0.000    0.000    0.003    0.000 enum.py:633(_convert)
        1    0.000    0.000    0.072    0.072 frame.py:10(<module>)
        2    0.000    0.000    0.002    0.001 frontend.py:191(build_def)
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
       32    0.000    0.000    0.000    0.000 M20_cards.py:1277(Sephara_Skys_Blade_alt_cost_check)
       21    0.000    0.000    0.000    0.000 parse.py:412(urlsplit)
        1    0.000    0.000    0.002    0.002 pytables.py:4(<module>)
      178    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
      236    0.000    0.000    0.000    0.000 series.py:3917(_needs_reindex_multi)
      570    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
        4    0.000    0.000    0.000    0.000 base.py:1088(_add_arithmetic_ops)
        1    0.000    0.000    0.027    0.027 series.py:3(<module>)
        2    0.000    0.000    0.000    0.000 win32.py:92(_winapi_test)
        3    0.000    0.000    0.000    0.000 base.py:5068(_add_numeric_methods_binary)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      726    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C.parse_type_comment}
       54    0.000    0.000    0.001    0.000 concat.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        2    0.000    0.000    0.001    0.000 period.py:1(<module>)
      159    0.000    0.000    0.001    0.000 Card_types.py:559(set_targets)
        4    0.000    0.000    0.000    0.000 array_ops.py:202(comparison_op)
       22    0.000    0.000    0.002    0.000 M20_cards.py:874(<lambda>)
       12    0.000    0.000    0.000    0.000 generic.py:11188(_make_stat_function)
       46    0.000    0.000    0.007    0.000 Player.py:101(shuffle_lib)
       22    0.000    0.000    0.000    0.000 cast.py:549(infer_dtype_from_scalar)
       12    0.000    0.000    0.000    0.000 frontend.py:540(build_Subscript)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
        3    0.000    0.000    0.004    0.001 categorical.py:1(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        1    0.000    0.000    0.009    0.009 Image.py:27(<module>)
        1    0.000    0.000    0.001    0.001 interval.py:154(IntervalIndex)
       35    0.000    0.000    0.000    0.000 Card_types.py:1115(detach_from)
       18    0.000    0.000    0.002    0.000 blocks.py:354(concat_same_type)
        1    0.000    0.000    0.000    0.000 inspect.py:316(getmembers)
       84    0.000    0.000    0.000    0.000 construction.py:249(<listcomp>)
        1    0.000    0.000    0.000    0.000 linear.py:68(Linear)
       44    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parsers.py:3(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        2    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
       36    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
       29    0.000    0.000    0.000    0.000 Abilities_Effects.py:409(remove_trigger_points)
        1    0.000    0.000    0.000    0.000 six.py:164(_SixMetaPathImporter)
        4    0.000    0.000    0.002    0.000 series.py:3719(apply)
        2    0.000    0.000    0.011    0.006 __init__.py:6(<module>)
       78    0.000    0.000    0.000    0.000 M20_cards.py:1853(<lambda>)
        1    0.000    0.000    0.004    0.004 linalg.py:10(<module>)
      236    0.000    0.000    0.000    0.000 arraysetops.py:741(_setdiff1d_dispatcher)
       47    0.000    0.000    0.001    0.000 typing.py:445(__init__)
        1    0.000    0.000    0.001    0.001 groupby.py:1034(GroupBy)
        1    0.000    0.000    0.000    0.000 offsets.py:2546(Tick)
       21    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.000    0.000 boolean.py:198(BooleanArray)
        1    0.000    0.000    0.006    0.006 groupby.py:8(<module>)
        2    0.000    0.000    0.001    0.001 generic.py:10105(_add_numeric_operations)
        1    0.000    0.000    0.082    0.082 generic.py:7(<module>)
      334    0.000    0.000    0.000    0.000 M20_cards.py:156(<lambda>)
       34    0.000    0.000    0.000    0.000 array_ops.py:119(define_na_arithmetic_op)
        1    0.000    0.000    0.000    0.000 pathlib.py:615(PurePath)
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
      163    0.000    0.000    0.000    0.000 M20_cards.py:1911(<lambda>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        4    0.000    0.000    0.000    0.000 frontend.py:491(build_UnaryOp)
       20    0.000    0.000    0.000    0.000 Player.py:91(enter_game)
       58    0.000    0.000    0.000    0.000 strings.py:1943(_forbid_nonstring_types)
       20    0.000    0.000    0.000    0.000 datetimes.py:73(_field_accessor)
      227    0.000    0.000    0.000    0.000 M20_cards.py:1848(<lambda>)
       70    0.000    0.000    0.000    0.000 Card_types.py:993(leave_zone_effects)
        1    0.000    0.000    0.022    0.022 request.py:68(<module>)
        5    0.000    0.000    0.000    0.000 series.py:3857(_reduce)
       64    0.000    0.000    0.000    0.000 Card_types.py:1066(enter_zone_effects)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
      334    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
       36    0.000    0.000    0.000    0.000 docstrings.py:7(_make_flex_doc)
        1    0.000    0.000    0.001    0.001 categorical.py:209(Categorical)
      846    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        2    0.000    0.000    0.000    0.000 win32.py:98(winapi_test)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 model.py:239(FunctionPtrType)
       14    0.000    0.000    0.005    0.000 frame.py:3837(reindex)
        1    0.000    0.000    0.000    0.000 ops.py:67(Term)
        6    0.000    0.000    0.000    0.000 base.py:1107(_add_comparison_ops)
        1    0.000    0.000    0.002    0.002 ops.py:2(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       30    0.000    0.000    0.000    0.000 inspect.py:2467(__init__)
      566    0.000    0.000    0.000    0.000 arrayprint.py:1162(__call__)
       54    0.000    0.000    0.001    0.000 config.py:730(inner)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
       22    0.000    0.000    0.010    0.000 combat_logic.py:8(__init__)
        5    0.000    0.000    0.010    0.002 __init__.py:2(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:1083(script)
        5    0.000    0.000    0.001    0.000 __init__.py:1972(_get_builtin_table)
       34    0.000    0.000    0.000    0.000 Card_types.py:1099(<lambda>)
       19    0.000    0.000    0.001    0.000 Player.py:358(discard_cards)
       29    0.000    0.000    0.000    0.000 Card_types.py:745(discard_from_hand)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.003    0.003 tz.py:9(<module>)
        4    0.000    0.000    0.005    0.001 __init__.py:5(<module>)
       71    0.000    0.000    0.000    0.000 reduction.py:43(register)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
      236    0.000    0.000    0.000    0.000 arraysetops.py:480(_in1d_dispatcher)
      161    0.000    0.000    0.000    0.000 _decorators.py:283(__init__)
        1    0.000    0.000    0.003    0.003 blocks.py:1(<module>)
        3    0.000    0.000    0.011    0.004 __init__.py:15(<module>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.011    0.006 frontend.py:155(get_jit_def)
        1    0.000    0.000    0.000    0.000 util.py:159(Finalize)
        1    0.000    0.000    0.001    0.001 offsets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
       54    0.000    0.000    0.000    0.000 Card_types.py:1135(enter_zone_effects)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
       36    0.000    0.000    0.000    0.000 Card_types.py:1232(plus1_plus1_counter_effect)
       12    0.000    0.000    0.000    0.000 period.py:50(_field_accessor)
      239    0.000    0.000    0.000    0.000 managers.py:1576(is_consolidated)
       19    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       26    0.000    0.000    0.000    0.000 core.py:6665(getdoc)
        4    0.000    0.000    0.001    0.000 base.py:4992(drop)
        1    0.000    0.000    0.000    0.000 _tensor_docs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hmac.py:4(<module>)
        1    0.000    0.000    0.002    0.002 array.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:298(LegacyTracedModule)
      143    0.000    0.000    0.000    0.000 M20_cards.py:2405(<lambda>)
        1    0.000    0.000    0.008    0.008 npyio.py:1(<module>)
       37    0.000    0.000    0.000    0.000 Card_types.py:959(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.016    0.016 __init__.py:124(<module>)
        9    0.000    0.000    0.000    0.000 random.py:286(sample)
        1    0.000    0.000    0.000    0.000 tarfile.py:1387(TarFile)
       16    0.000    0.000    0.000    0.000 Card_types.py:1180(__init__)
       39    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(putmask)
        8    0.000    0.000    0.000    0.000 generic.py:11243(_make_cum_function)
        4    0.000    0.000    0.000    0.000 function.py:276(_iter_filter)
        2    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
        2    0.000    0.000    0.004    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
       44    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        1    0.000    0.000    0.000    0.000 frontend.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:1948(YearOffset)
      240    0.000    0.000    0.000    0.000 managers.py:1582(_consolidate_inplace)
       35    0.000    0.000    0.000    0.000 M20_cards.py:257(r_Ancestral_Blade_equip)
        9    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
       96    0.000    0.000    0.000    0.000 __init__.py:292(_get_op_name)
        4    0.000    0.000    0.000    0.000 methods.py:225(_add_methods)
        4    0.000    0.000    0.030    0.007 csvs.py:157(save)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       55    0.000    0.000    0.000    0.000 extension.py:24(inherit_from_data)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 pareto.py:8(Pareto)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
       17    0.000    0.000    0.001    0.000 arrayprint.py:477(wrapper)
      403    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
       22    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       19    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
       27    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       37    0.000    0.000    0.000    0.000 Card_types.py:1036(leave_zone_effects)
        4    0.000    0.000    0.000    0.000 inspect.py:2750(__init__)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       41    0.000    0.000    0.001    0.000 Card_types.py:586(check_target_zones)
        2    0.000    0.000    0.056    0.028 apply.py:269(apply_standard)
        3    0.000    0.000    0.000    0.000 _decorators.py:224(decorate)
      195    0.000    0.000    0.000    0.000 utils.py:43(__init__)
      236    0.000    0.000    0.000    0.000 numerictypes.py:655(<listcomp>)
      195    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      236    0.000    0.000    0.000    0.000 {function FrozenList.__getitem__ at 0x0000027D61E1B288}
        1    0.000    0.000    0.000    0.000 traceback.py:385(format)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:29(<module>)
      159    0.000    0.000    0.000    0.000 Card_types.py:542(make_choices)
        4    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        2    0.000    0.000    0.004    0.002 rnn.py:1(<module>)
        4    0.000    0.000    0.031    0.008 generic.py:3042(to_csv)
      174    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        2    0.000    0.000    0.015    0.008 api.py:1(<module>)
      195    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      445    0.000    0.000    0.000    0.000 M20_cards.py:386(<lambda>)
      173    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       14    0.000    0.000    0.001    0.000 M20_cards.py:1757(<lambda>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       12    0.000    0.000    0.001    0.000 Card_types.py:1009(resolve)
       24    0.000    0.000    0.000    0.000 Concepts.py:148(apply_mod)
      136    0.000    0.000    0.000    0.000 expr.py:160(<lambda>)
        1    0.000    0.000    0.000    0.000 win32.py:4(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
        8    0.000    0.000    0.000    0.000 frontend.py:542(build_SliceExpr)
        1    0.000    0.000    0.003    0.003 frequencies.py:1(<module>)
        3    0.000    0.000    0.011    0.004 parsers.py:2035(read)
       39    0.000    0.000    0.000    0.000 M20_cards.py:254(Ancestral_Blade_equip)
        3    0.000    0.000    0.000    0.000 six.py:866(wrapper)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.002    0.002 indexing.py:1(<module>)
      147    0.000    0.000    0.000    0.000 Card_types.py:1133(<lambda>)
      175    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 cast.py:1(<module>)
       10    0.000    0.000    0.000    0.000 managers.py:1360(_make_na_block)
        5    0.000    0.000    0.000    0.000 base.py:5048(_add_numeric_methods_disabled)
        1    0.000    0.000    0.001    0.001 expanding.py:10(Expanding)
       11    0.000    0.000    0.004    0.000 frame.py:3732(_reindex_axes)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
       29    0.000    0.000    0.004    0.000 linecache.py:37(getlines)
      176    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        3    0.000    0.000    0.000    0.000 frame.py:3066(_box_item_values)
        1    0.000    0.000    0.001    0.001 rolling.py:1802(Rolling)
       22    0.000    0.000    0.000    0.000 Zones.py:136(__init__)
       36    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        4    0.000    0.000    0.000    0.000 csvs.py:228(_save_header)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       98    0.000    0.000    0.000    0.000 M20_cards.py:286(<lambda>)
        4    0.000    0.000    0.000    0.000 common.py:242(index_labels_to_array)
        1    0.000    0.000    0.001    0.001 category.py:38(CategoricalIndex)
        1    0.000    0.000    0.009    0.009 _base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
        6    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
       23    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
       44    0.000    0.000    0.000    0.000 core.py:145(get_object_signature)
       93    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       11    0.000    0.000    0.000    0.000 random.py:97(seed)
       12    0.000    0.000    0.000    0.000 cast.py:1418(construct_1d_arraylike_from_scalar)
        2    0.000    0.000    0.000    0.000 concat.py:3(<module>)
        3    0.000    0.000    0.000    0.000 parsers.py:885(_get_options_with_defaults)
       25    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        3    0.000    0.000    0.029    0.010 parsers.py:1131(read)
       10    0.000    0.000    0.000    0.000 ntpath.py:178(split)
        5    0.000    0.000    0.000    0.000 nanops.py:234(_get_values)
       22    0.000    0.000    0.001    0.000 __init__.py:559(_flex_method_SERIES)
       98    0.000    0.000    0.001    0.000 common.py:24(wrapper)
        1    0.000    0.000    0.002    0.002 strings.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:846(__init_subclass__)
       16    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:239(_sanity_check)
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ops.py:7(<module>)
        3    0.000    0.000    0.000    0.000 ansi.py:26(__init__)
       56    0.000    0.000    0.000    0.000 Card_types.py:387(declare_as_blocker)
       67    0.000    0.000    0.000    0.000 accessor.py:97(_create_delegator_method)
      140    0.000    0.000    0.000    0.000 Concepts.py:191(assign_source)
        4    0.000    0.000    0.003    0.001 common.py:314(get_handle)
        3    0.000    0.000    0.000    0.000 parsers.py:1345(__init__)
        1    0.000    0.000    0.000    0.000 Card_types.py:904(Creature)
       22    0.000    0.000    0.000    0.000 Player.py:741(input_order)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
       35    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.016    0.016 client.py:69(<module>)
        1    0.000    0.000    0.010    0.010 rolling.py:4(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:10(<module>)
        1    0.000    0.000    0.269    0.269 Player.py:2(<module>)
        3    0.000    0.000    0.000    0.000 parsers.py:939(_clean_options)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        6    0.000    0.000    0.008    0.001 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:499(StringConverter)
        5    0.000    0.000    0.000    0.000 M20_cards.py:666(Gauntlet_of_Light_effect)
        1    0.000    0.000    0.000    0.000 datetimelike.py:397(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.005    0.005 datetimelike.py:1(<module>)
       11    0.000    0.000    0.004    0.000 frame.py:3769(_reindex_columns)
       27    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        8    0.000    0.000    0.000    0.000 Abilities_Effects.py:856(reverse_effect)
        2    0.000    0.000    0.000    0.000 frontend.py:172(__init__)
        6    0.000    0.000    0.000    0.000 indexers.py:278(check_array_indexer)
        1    0.000    0.000    0.002    0.002 _json.py:1(<module>)
       16    0.000    0.000    0.000    0.000 Player.py:203(create_token)
        2    0.000    0.000    0.000    0.000 annotations.py:114(get_type_line)
       14    0.000    0.000    0.000    0.000 _validators.py:217(validate_axis_style_args)
        4    0.000    0.000    0.002    0.001 generic.py:3943(_drop_axis)
      121    0.000    0.000    0.000    0.000 M20_cards.py:2452(<lambda>)
       31    0.000    0.000    0.000    0.000 Card_types.py:1170(EOT_cleanup)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
       11    0.000    0.000    0.000    0.000 version.py:307(parse)
        1    0.000    0.000    0.002    0.002 config.py:49(<module>)
       25    0.000    0.000    0.000    0.000 common.py:58(_expand_user)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
       14    0.000    0.000    0.000    0.000 common.py:99(is_bool_indexer)
       72    0.000    0.000    0.000    0.000 Zones.py:100(remove_glob_effects)
       22    0.000    0.000    0.000    0.000 Zones.py:182(__init__)
        5    0.000    0.000    0.000    0.000 M20_cards.py:177(Ajani_SotP_minus2_effect)
        2    0.000    0.000    0.001    0.001 missing.py:3(<module>)
        7    0.000    0.000    0.000    0.000 common.py:144(get_filepath_or_buffer)
       42    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
      113    0.000    0.000    0.000    0.000 typing.py:481(__hash__)
       10    0.000    0.000    0.000    0.000 extension.py:105(wrapper)
       17    0.000    0.000    0.000    0.000 Abilities_Effects.py:821(apply_effect)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.002    0.002 datetimelike.py:3(<module>)
        1    0.000    0.000    0.010    0.010 blocks.py:2045(to_native_types)
        8    0.000    0.000    0.000    0.000 enum.py:830(__or__)
       26    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
       19    0.000    0.000    0.001    0.000 arrayprint.py:1489(_array_str_implementation)
       66    0.000    0.000    0.003    0.000 traceback.py:282(line)
       35    0.000    0.000    0.000    0.000 {pandas._libs.internals.get_blkno_placements}
        2    0.000    0.000    0.010    0.005 activation.py:1(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
        7    0.000    0.000    0.000    0.000 ntpath.py:75(join)
        1    0.000    0.000    0.000    0.000 base.py:57(ExtensionArray)
        4    0.000    0.000    0.001    0.000 arrayprint.py:532(array2string)
        1    0.000    0.000    0.003    0.003 serialization.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ntpath.py:287(expanduser)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        8    0.000    0.000    0.000    0.000 __init__.py:381(__getitem__)
       82    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:49(<setcomp>)
        4    0.000    0.000    0.000    0.000 methods.py:221(<dictcomp>)
        1    0.000    0.000    0.001    0.001 managers.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
        1    0.000    0.000    0.016    0.016 boolean.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pivot.py:1(<module>)
       42    0.000    0.000    0.000    0.000 M20_cards.py:2432(<lambda>)
        1    0.000    0.000    0.000    0.000 pytables.py:455(HDFStore)
        1    0.000    0.000    0.023    0.023 faster_rcnn.py:1(<module>)
       94    0.000    0.000    0.000    0.000 construction.py:245(<genexpr>)
        1    0.000    0.000    0.008    0.008 __init__.py:1063(_compile_function)
       19    0.000    0.000    0.000    0.000 Card_types.py:978(__init__)
        1    0.000    0.000    0.005    0.005 _decorators.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:78(DatetimeIndexOpsMixin)
       19    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
       15    0.000    0.000    0.000    0.000 numeric.py:159(ones)
       38    0.000    0.000    0.000    0.000 config.py:699(config_prefix)
        6    0.000    0.000    0.001    0.000 base.py:1024(_format_native_types)
        3    0.000    0.000    0.001    0.000 parsers.py:792(__init__)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 M20_cards.py:261(Ancestral_Blade_ETB_effect)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
        4    0.000    0.000    0.026    0.007 csvs.py:308(_save)
        1    0.000    0.000    0.000    0.000 melt.py:1(<module>)
       20    0.000    0.000    0.000    0.000 Abilities_Effects.py:917(assign_source)
       50    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 wintypes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        6    0.000    0.000    0.000    0.000 Card_types.py:1122(__init__)
       72    0.000    0.000    0.000    0.000 kl.py:37(register_kl)
        1    0.000    0.000    0.003    0.003 threading.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
       16    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
       18    0.000    0.000    0.000    0.000 common.py:88(stringify_path)
       16    0.000    0.000    0.000    0.000 Card_types.py:886(bounce)
        1    0.000    0.000    0.000    0.000 __init__.py:83(<listcomp>)
        4    0.000    0.000    0.058    0.014 apply.py:144(get_result)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 format.py:527(DataFrameFormatter)
       78    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
       38    0.000    0.000    0.000    0.000 typing.py:1199(_alias)
        1    0.000    0.000    0.000    0.000 blocks.py:91(Block)
        1    0.000    0.000    0.009    0.009 platform.py:10(<module>)
        1    0.000    0.000    0.007    0.007 dtypes.py:1(<module>)
        3    0.000    0.000    0.031    0.010 parsers.py:530(parser_f)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:34(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
       20    0.000    0.000    0.018    0.001 Player.py:97(reset_self)
        5    0.000    0.000    0.000    0.000 Player.py:132(scry)
        1    0.000    0.000    0.003    0.003 array_ops.py:4(<module>)
       11    0.000    0.000    0.000    0.000 generic.py:4572(_needs_reindex_multi)
        1    0.000    0.000    0.001    0.001 _jit_internal.py:5(<module>)
        2    0.000    0.000    0.000    0.000 conv.py:2(<module>)
       17    0.000    0.000    0.000    0.000 array.py:1374(_create_arithmetic_method)
        1    0.000    0.000    0.001    0.001 _typing.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 generic.py:148(SeriesGroupBy)
        1    0.000    0.000    0.000    0.000 groupby.py:357(_GroupBy)
        2    0.000    0.000    0.001    0.000 apply.py:188(apply_empty_result)
       10    0.000    0.000    0.000    0.000 Zones.py:39(__init__)
        1    0.000    0.000    0.016    0.016 nn_input_logic.py:15(__init__)
